Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
1600.0,2,2,2, La Julia,Segundo Uso,Residencial,97.0,4,True,False,2021,True,True,False,True,True,True
1600.0,2,2,2, La Julia,Segundo Uso,Comercial,97.0,4,True,False,2020,True,True,False,True,True,True
1600.0,2,2,2, Evaristo Morales,Nueva,Residencial,97.0,4,True,False,2022,False,False,False,True,False,True
1650.0,2,2,2, Bella Vista,Segundo Uso,Residencial,150.5397022332506,5,True,False,2020,True,True,True,True,True,True
1200.0,3,2,2, Evaristo Morales,Segundo Uso,Residencial,180.0,4,True,False,2022,True,True,True,False,False,True
1500.0,2,2,1, Bella Vista Sur,Segundo Uso,Residencial,150.5397022332506,2,True,False,2024,True,True,False,True,True,True
1200.0,1,1,1, Piantini,Nueva,Residencial,80.0,4,True,False,2021,True,True,False,False,True,True
1400.0,2,2,2, El Vergel,Segundo Uso,Residencial,146.0,11,True,False,2018,True,True,False,True,True,True
1450.0,2,2,2, El Vergel,Segundo Uso,Residencial,146.0,11,True,False,2018,True,True,True,True,True,True
1600.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,150.5397022332506,6,False,False,2023,False,False,False,True,False,True
1400.0,2,2,1, Ensanche Naco,Nueva,Residencial,73.0,6,True,False,2024,True,True,True,True,True,False
1050.0,3,3,2, El Millón,Segundo Uso,Residencial,145.0,4,True,False,2022,True,True,True,False,True,True
1600.0,2,2,2, Evaristo Morales,Segundo Uso,Residencial,121.0,5,True,False,2022,True,True,False,True,False,False
1250.0,3,2,2, Zona Universitaria,Nueva,Residencial,150.5397022332506,6,True,False,2024,True,True,False,True,True,True
1200.0,2,2,2, Ensanche Naco,Nueva,Residencial,94.0,12,True,False,2024,True,True,True,True,True,False
1400.0,1,1,1, Piantini,Segundo Uso,Residencial,87.0,5,True,False,2021,True,True,True,True,True,True
1050.0,2,2,3, Malecón,Remodelada,Residencial,178.0,19,True,False,2019,True,True,True,True,True,True
1250.0,1,1,2, Evaristo Morales,Nueva,Residencial,85.0,5,True,False,2020,True,True,True,True,True,True
1300.0,1,1,2, Evaristo Morales,Nueva,Residencial,85.0,7,True,False,2019,False,False,False,True,False,True
1500.0,1,2,1, Piantini,Nueva,Residencial,83.0,5,True,False,2021,True,True,True,True,True,False
1300.0,1,1,1, Piantini,Nueva,Residencial,65.0,12,True,False,2023,True,True,True,True,True,True
1200.0,1,1,1, Piantini,Nueva,Residencial,83.0,3,True,False,2023,True,True,True,True,True,True
1200.0,3,2,2, Bella Vista,Segundo Uso,Residencial,150.5397022332506,4,True,False,2023,True,True,False,False,False,True
